#Please wait 3[s]#Please wait 2[s]#Please wait 1[s]#Please wait 0[s]
43.249199 -1.000000 -0.914310 -53.006985  0.016365  0.066742 -82.000000 -81.261116  0.024837
43.351528 22.000000 -0.370319 81.710136  0.010195  0.078540  7.000000 -0.365280 -5.530926
43.439175 28.000000 -272.066010 103.063667  0.011908  0.101150  6.000000  5.404175 -160.741364
43.481743 28.000000 68.311729 98.823387  0.020986  0.107142  7.000000  6.877281 25.449520
43.546364 28.000000 55.341068 100.446732  0.025570  0.104849  8.000000  7.910294 12.580098
43.653999 24.000000 121.813576 82.216026  0.047927  0.095455 10.000000  9.844551 18.230553
43.761677 22.000000 -27.730181 51.957001  0.058791  0.120618 10.000000  9.975198 -9.233546
43.846355 27.000000 -8.828111 68.106819  0.066028  0.141597  9.000000  9.075895 -13.882327
43.953987 26.000000 -77.465126 57.887611  0.058648  0.147195  8.000000  8.069954 -66.597557
44.062107 25.000000 81.825111 42.987957  0.057201  0.159307  7.000000  7.102046 38.235607
44.169212 21.000000 56.216930 29.054525  0.077248  0.144037  8.000000  7.930969 14.437956
44.254013 19.000000 110.166924 22.145124  0.076323  0.136295 10.000000  9.844181 25.029736
44.319195 16.000000 -53.437965  9.036326  0.076846  0.128510 10.000000  9.970718 -28.192600
44.426369 16.000000 -22.741001  1.044238  0.081105  0.139723 11.000000 10.906662 -26.131004
44.511703 14.000000 -71.846893 -7.263309  0.075591  0.133935 11.000000 10.975158 -70.113121
44.619198  7.000000 71.922371 -30.594885  0.074542  0.105496 11.000000 11.011723 37.866024
44.726799  3.000000 37.005100 -52.796017  0.072277  0.101720 12.000000 11.923408  5.663911
44.831619  2.000000 74.708305 -58.215195  0.062564  0.100590 12.000000 12.008141 17.085960
44.919209 -3.000000 -80.412773 -78.338257  0.062938  0.085056 13.000000 12.899777 -53.058254
44.984001 -5.000000 -41.164402 -89.737373  0.063038  0.083585 12.000000 12.069210 -41.730717
45.069206 -6.000000 -77.087761 -97.477768  0.058630  0.085744 12.000000 11.991940 -77.039383
45.134033 -7.000000 70.301323 -101.990486  0.056157  0.083325 12.000000 12.015872 44.290863
45.219223 -8.000000 25.303083 -105.388954  0.049471  0.079323 11.000000 11.091609  2.254553
45.284004 -11.000000 56.599613 -121.715324  0.050508  0.076017 11.000000 11.021440 15.099008
45.392078 -12.000000 -97.346176 -123.435280  0.054570  0.069625 10.000000 10.067398 -71.608971
45.479218 -14.000000 -49.010433 -134.150970  0.063351  0.067178 10.000000  9.999736 -49.548027
45.541561 -10.000000 -82.008049 -121.902443  0.066721  0.085108  9.000000  9.070200 -83.698006
45.649246 -8.000000 92.002480 -108.194405  0.071478  0.083304  8.000000  8.111166 68.681442
45.753983 -6.000000 30.991827 -100.630112  0.069621  0.090212  6.000000  6.183945 10.642479
45.841747 -2.000000 55.894955 -79.444588  0.079385  0.095435  7.000000  6.942037 23.497721
45.949245 -2.000000 -85.681129 -66.084785  0.117927  0.076491  9.000000  8.808932 -69.789894
46.056385 -2.000000 -33.669376 -52.506981  0.118200  0.057181 11.000000 10.810133 -39.469921
46.141613 -4.000000 -55.894516 -54.881916  0.119868  0.042844 12.000000 11.889624 -63.018757
46.206364 -5.000000 72.725998 -61.907650  0.119991  0.043995 12.000000 12.006520 54.352871
46.314007 -5.000000 22.088776 -58.334717  0.134635  0.038900 13.000000 12.921770  5.394380
46.399265 -6.000000 41.874832 -64.204987  0.125984  0.038403 12.000000 12.087190 17.571358
46.464069 -5.000000 -78.722237 -58.619713  0.127520  0.039306 12.000000 11.991411 -71.465576
46.549267 -8.000000 -33.096279 -64.715790  0.142514  0.021382 13.000000 12.910494 -40.249760
46.614048 -5.000000 -52.944031 -70.837997  0.143949  0.056720 12.000000 12.067336 -61.325615
46.719231  2.000000 91.081253 -60.736885  0.136444  0.104155 12.000000 12.024446 73.715775
46.806362  0.000000 30.420630 -70.550964  0.142722  0.100448 12.000000 12.008112 14.278480
46.849213  1.000000 50.732105 -72.703003  0.142754  0.112271 11.000000 11.094801 28.501141
46.913982  2.000000 -77.991280 -73.454727  0.145901  0.122091 11.000000 10.990989 -74.877296
46.956367  1.000000 -25.961439 -77.412727  0.152649  0.118909 11.000000 10.994218 -35.341755
46.999214  0.000000 -43.824978 -80.722076  0.157222  0.114810 11.000000 10.990695 -54.205135
47.063984 -3.000000 65.212685 -94.415565  0.166530  0.107810 11.000000 11.013301 50.228550
47.129128 -6.000000 17.263191 -105.687782  0.170557  0.097374 12.000000 11.921600  3.050435
47.216385 -12.000000 36.766125 -127.146118  0.174293  0.074898 11.000000 11.087648 18.372324
47.321579 -18.000000 -108.612000 -152.553650  0.166866  0.057971  8.000000  8.240762 -105.342529
47.386368 -19.000000 -49.171055 -165.583023  0.158329  0.067663  7.000000  7.098502 -56.164295
47.471642 -23.000000 -68.054008 -174.629776  0.167471  0.045127  9.000000  8.830707 -75.304253
47.536366 -30.000000 35.193176 -192.250290  0.174448  0.008147 11.000000 10.830721 25.616808
47.644016 -32.000000 -10.386333 -214.523376  0.173291  0.022195 11.000000 10.989475 -18.933657
47.732098 -30.000000  1.923226 -213.480804  0.168730  0.038457 12.000000 11.921288 -8.144541
47.794079 -30.000000 -82.502495 -209.258514  0.162697  0.032433 13.000000 12.898454 -82.953262
47.881607 -32.000000 -48.939754 -228.247955  0.161572  0.041781 12.000000 12.072577 -53.328377
47.989246 -28.000000 -64.134293 -219.837128  0.157846  0.065230 11.000000 11.083168 -68.569946
48.051525 -27.000000 36.406166 -213.883957  0.157388  0.065607 11.000000 11.020460 30.541801
48.136826 -26.000000 -5.910919 -207.048981  0.158258  0.064730  9.000000  9.174005 -11.159607
48.201729 -22.000000  4.380862 -196.025253  0.145285  0.084404  8.000000  8.104397 -1.758360
48.286377 -18.000000 -54.956108 -174.409622  0.134639  0.089023  6.000000  6.169439 -56.163048
48.351524 -16.000000 -28.949324 -163.122467  0.122436  0.090652  6.000000  6.012376 -32.388069
48.459751 -10.000000 -42.276554 -142.285217  0.112126  0.113937  4.000000  4.162933 -45.933876
48.564026 -6.000000 55.286068 -121.209846  0.109953  0.119289  3.000000  3.110551 50.636093
48.649216  0.000000 17.927029 -101.800049  0.115314  0.144416  1.000000  1.180492 13.324236
48.691574  4.000000 27.526939 -86.746292  0.118440  0.158125  1.000000  1.019834 22.056858
48.736366  7.000000 -27.575201 -70.171692  0.119723  0.161022  2.000000  1.910257 -30.087971
48.779224  7.000000 -4.315758 -61.176811  0.127205  0.148477  2.000000  1.990176 -8.570237
48.822079  6.000000 -11.259511 -59.320305  0.133732  0.137176  3.000000  2.911893 -15.785327
48.864033  7.000000 37.463821 -47.061638  0.134538  0.128698  2.000000  2.083185 32.516777
48.949192  9.000000 18.288303 -33.098633  0.123597  0.126553  1.000000  1.092889 13.159099
48.993999 10.000000 24.245157 -26.255655  0.119173  0.125674  1.000000  1.010776 18.602781
49.059250 12.000000 -8.832461 -13.767360  0.115674  0.125602  0.000000  0.080214 -13.389317
49.101532 13.000000  5.910958 -4.108428  0.116923  0.120761  1.000000  0.921062  0.435721
49.144455 14.000000  0.721522  0.915737  0.124782  0.122441  1.000000  0.990477 -5.098946
49.209175 19.000000 49.085457 15.117377  0.135066  0.146136  1.000000  1.005584 42.833614
49.316360 23.000000 31.613241 34.770535  0.138509  0.153426  1.000000  1.002579 24.869495
49.423985 19.000000 40.860554 34.663979  0.129288  0.118700 -1.000000 -0.827437 33.406887
49.531719 24.000000 -4.880337 61.870781  0.124000  0.124168 -2.000000 -1.907420 -11.550286
49.616379 24.000000 14.672974 60.019646  0.122694  0.126771 -3.000000 -2.910038  6.967912
49.681553 26.000000  7.482571 64.601997  0.119285  0.137796 -3.000000 -2.996238 -0.739339
49.766365 29.000000 64.322556 76.508369  0.124175  0.147242 -2.000000 -2.076457 55.746895
49.831623 30.000000 41.307167 89.524765  0.132083  0.137726 -1.000000 -1.088580 32.167042
49.916359 25.000000 53.186344 63.801701  0.134373  0.130194 -2.000000 -1.918134 43.354656
49.981518 29.000000 -12.187230 82.080933  0.137449  0.139444  0.000000 -0.169657 -21.394514
50.023975 27.000000 14.336446 65.614319  0.140322  0.145085 -1.000000 -0.932506  4.084962
50.089199 28.000000  5.583083 75.878311  0.133723  0.139422  0.000000 -0.082524 -5.236602
50.194050 25.000000 56.924809 61.878368  0.122519  0.132895  0.000000 -0.000176 45.951626
50.281544 24.000000 34.806408 53.163780  0.118388  0.136397  0.000000  0.001349 23.414869
50.323975 22.000000 44.109715 43.751076  0.124382  0.132154  1.000000  0.919845 32.299961
50.389244 21.000000 -18.063204 39.696705  0.132935  0.129116  2.000000  1.900907 -29.558546
50.431511 19.000000  6.978016 29.761953  0.133297  0.125599  2.000000  1.989275 -5.127109
50.474422 17.000000  0.327415 25.475693  0.133516  0.114123  3.000000  2.911683 -12.050248
50.539280 14.000000 36.682720  8.849262  0.133295  0.111262  3.000000  2.997219 24.395929
50.646381 11.000000 19.365395 -13.213897  0.129168  0.116068  4.000000  3.917184  6.943004
